,Year,Airport,Cause,Delays (%)
401,2016,IAD,Air Carrier Delay,5.176328783038049
402,2016,IAH,Air Carrier Delay,3.790337875295421
403,2016,JFK,Air Carrier Delay,5.661267216503286
404,2016,LAS,Air Carrier Delay,4.665213351914526
405,2016,LAX,Air Carrier Delay,5.585767143098623
406,2016,LGA,Air Carrier Delay,5.62334085685296
407,2016,MCO,Air Carrier Delay,5.9383515338545605
408,2016,MDW,Air Carrier Delay,3.9159814127240833
409,2016,MIA,Air Carrier Delay,6.425317218809209
410,2016,MSP,Air Carrier Delay,4.373555920339456
411,2016,ORD,Air Carrier Delay,3.9496041231871892
412,2016,PDX,Air Carrier Delay,4.692828169206119
413,2016,PHL,Air Carrier Delay,4.997430500505701
414,2016,PHX,Air Carrier Delay,4.639943705863135
415,2016,SAN,Air Carrier Delay,5.280384708846512
416,2016,SEA,Air Carrier Delay,4.1352137950794345
417,2016,SFO,Air Carrier Delay,4.637623406304017
418,2016,SLC,Air Carrier Delay,3.966248369375494
419,2016,TPA,Air Carrier Delay,5.970330689193365
420,2017,ATL,Air Carrier Delay,3.6264962150738795
421,2017,BOS,Air Carrier Delay,5.63839921165006
422,2017,BWI,Air Carrier Delay,3.944336479733482
423,2017,CLT,Air Carrier Delay,3.584957736760393
424,2017,DAL,Air Carrier Delay,3.9608212300519994
425,2017,DCA,Air Carrier Delay,5.2131230925737535
426,2017,DEN,Air Carrier Delay,4.412024811152737
427,2017,DFW,Air Carrier Delay,4.237592433361995
428,2017,DTW,Air Carrier Delay,4.191933608203826
429,2017,EWR,Air Carrier Delay,4.662973065121036
430,2017,FLL,Air Carrier Delay,5.423753280839895
431,2017,IAD,Air Carrier Delay,5.856581938417027
432,2017,IAH,Air Carrier Delay,3.7783689658508264
433,2017,JFK,Air Carrier Delay,5.69174041297935
434,2017,LAS,Air Carrier Delay,5.199032216987138
435,2017,LAX,Air Carrier Delay,5.525203696947586
436,2017,LGA,Air Carrier Delay,5.284308250732934
437,2017,MCO,Air Carrier Delay,5.102516706952936
438,2017,MDW,Air Carrier Delay,3.0696757583071848
439,2017,MIA,Air Carrier Delay,5.3651216480198896
440,2017,MSP,Air Carrier Delay,4.289992459334267
441,2017,ORD,Air Carrier Delay,3.9214356056461326
442,2017,PDX,Air Carrier Delay,5.3637511478420565
443,2017,PHL,Air Carrier Delay,4.654003826182017
444,2017,PHX,Air Carrier Delay,4.8825423324588595
445,2017,SAN,Air Carrier Delay,5.864954707886645
446,2017,SEA,Air Carrier Delay,4.534827031792957
447,2017,SFO,Air Carrier Delay,5.0192672891280266
448,2017,SLC,Air Carrier Delay,5.3267712029300665
449,2017,TPA,Air Carrier Delay,5.27395328338475
450,2003,ATL,Extreme Weather Delay,0.8368657704757096
451,2003,BOS,Extreme Weather Delay,0.5136699761364641
452,2003,BWI,Extreme Weather Delay,0.7265867430858192
453,2003,CLT,Extreme Weather Delay,0.452188949401251
454,2003,DAL,Extreme Weather Delay,0.5115688059475041
455,2003,DCA,Extreme Weather Delay,0.7038142050698662
456,2003,DEN,Extreme Weather Delay,0.6687422599275472
457,2003,DFW,Extreme Weather Delay,0.6940684348728802
458,2003,DTW,Extreme Weather Delay,0.720837318546678
